INDEPENDENTE
IMPERIO DA BANHA
NOVO MUNDO
BRAMIL
VALENTE
ENXUTO
ONITSUKA
COAGRO
UNIDAO
SUPERALFA
BRETAS
GIMENES
POIS POIS
ALTO DA POSSE
LIDER
SONDA
MODELO
PASSINI
ASUN
J SANTOS
ESSO/STOP SHOP/HUNGRY TIGER
TEXACO/STAR MART
BR
SPECIAL SHOP
EXPRESS/SELECT/SHELL
ROYAL_DESCONTAO
AM PM / IPIRANGA
FREE SHOP
PIT STOP
REPSOL
REDE VIVO
NICOLLINI
DOIS IRMAOS
IMEC
MASTER ATS
BAKLIZI
SPANI
VILLEFORT
MART MINAS
SUPERPAO
HIROTA
TERRA NOVA 
IRMAOS LOPES
COOP RIO DO PEIXE
BREITHAUPT
GIASSI
COOPERHERING
VITORINO
TORREBELA
CASA DO OLEO
PLANALTO
LUSITANA
RUSSI
ARAUJO
COTRIGO
SAVEGNAGO
PRIMO
VIANENSE
ABC
CHAMA SUPERMERCADOS
HIPERIDEAL 
MATEUS SUPERMERCADOS
MUFFATO ATACADAO
MERCANTIL RODRIGUES
C & A
DADALTO
LOJAS GRAZZIOTIN
LOJAS RENNER
MAGAZINE BOM PRECO
LASA
PERNAMBUCANAS
SALFER
CASAS BAHIA
PONTO FRIO
FAST SHOP
PANASHOP/BEST MIX
LOJAS CEM
COLOMBO
MAGAZINE LUIZA
EXTRA ELETRO
LOJAS ARNO
CASA&VIDEO
INSINUANTE
PONTO CERTO
TELERIO
BJSANTOS
RICARDO ELETRO
LOJAS MIG
CYBELAR
LEADER MAGAZINE
VIDEO LAR
ELETROZENA
LOJAS BENOIT
GBARBOSA ELETRO
BLOCKBUSTER.COM
BLOCKBUSTER
SOM LIVRE
FNAC
NEW DISC
PLANET MUSIC
DA TERRA
SUPER PRIX
SUPERMARKET
SUPER REX
SANTANA
DROGASIL
ESTRELA GALDINO
GBARBOSA FARMA
ANTARES
DROBEL
DROGARIA SAO PAULO
DPC FARMA
DROGAO
SANTA MONICA DF_GO
PAGUE MENOS
SANTA MARTA DF_GO
CATARINENSE
A NOSSA DROGARIA
PACHECO
DROGASMIL
PATROCINIO
DROGA RAIA
DROGARIA POPULAR
FARM.SANTA MARTA MG
DROGADADA/DO POVO
FARMACIA MORIFARMA
DROGAFUJI
DROGARIA MAX
MODERNA
ONOFRE
AVENIDA PERF
SILVA
DROGALEV
PERMANENTE
CENTRAL DE MEDICAMENTOS
EXTRA DROGARIA
QUALIFARMA
GLOBO RN
HAMBURGUESA
DROGA RIO
BIG BEN
DROGARIA COMPREBEM
DROGAL
INDIANA
ROSARIO DF
BOM PRECO FARMA
NISSEI
DOS POBRES
DROGA GLOBO DF
DROGA DISTRITAL
DESCONTAO
MINAS BRASIL
DROGA NACIONAL
DROGA VISON
DROGA BANDEIRANTES
DROGARIA GALANTI
FARMA PAGUE POUCO
FARMACIA MEIRELES
DROGA30 DRUGSTORE
DROGA VERDE
VALE VERDE
FARMALIFE
DROGALINS
IPORANGA
DROGARIA AMADEUS
SAO LUIZ
FARMA IRMA DULCE
PANVEL
DROGARIA AVENIDA  AM
DROGAO SUPER/DROGA CITY
FARMACIA SESI SC
FARMACIA SESI RS
FARMABEM
GLICERIO
DROGA QUINZE
DROGARIA BIFARMA
DROGA SAO PAULO GO
DROGARIA VENANCIO
SAO BENTO
EXTRAFARMA IMIF
LESSA
FLAMING
SANTO ANTONIO
FARMACIA AVENIDA  CE
SANTA MONICA GO
DROGARIA LUSITANA
GUARARAPES FARMA PE
DIVIFAR
SAO TOMAZ
DROGARIA SANTO IVO
CASOFARMA
FARMACIA IGUACU
DROGAMED
SENDAS DROGARIAS
DROGARIA PAO DE ACUCAR
DROGANA
DROGARIA TAMOIO
GANZO
FARMACIA MARIN
FARMACIA ALQUIMIA
FARMACIA ROSARIO S CARLOS
FARMA PONTE
FARMACIA TRAJANO
FARMACIA PERMANENTE
LOJAS LIVIA COSMETICOS
DROGA ARAUJO
FARMACIA SAO JOAO
DROGARIA SANTA HELENA
ULTRAMED
FARMACIA DOSE CERTA
FARMAUTIL
SOUZA
FARMACOLANDIA
ISALVO LIMA
DROGARIA IRMA DULCE
DROGARIA SANTA FE
FARMACIA NIPON
CIRCULO OPERARIO CAXIENSE
IMIFARMA PROD FARM COSM S.A
DROGA TRADE
DROGA DOZE
ANGELONI FARMA
LIDER SUPER. E MAG
DROGARIA GUARARAPES RN
BRASIL
SANTA LUCIA
DOS MUNICIPIOS
CAPILE
DROGAVILLA S
DROGA AVENIDA ES
DROGALAP/DROGAZAP
DROGALIS
LIDER/RIO BRANCO
POTY
DROGARIA CARREFOUR
YAGE COSMETICOS
FARMACONDE
DROGARIA DO POVO
LORD
LADY
DANNY COSMETICOS
PADRON
MABELLE
PERFUMARIA NICE
DIA E NOITE
CAXOPA
FARMAX
NITEROIENSE
DROGA QUINZE.COM
PERFUMARIA HIPERIDEAL
COSBEL
MUNDO DO CABELELEIRO
ALADIM PERFUMARIA
beleza goias
CORPO&CIA PERFUMARIA
COTIRO COSMETICOS
LAFI COSMETICOS
MONAMIE PERFUMARIA
Perfumaria Sumiré
PETALA PERFUMARIA
REDE DOS COSMETICOS
SHOPPING COSMETICOS
SOLUÇÃO COSMETICOS
VANESSA COSMETICOS
FIKBELLA
SPASSO
D_AVO
WAL MART
TODO DIA
MAKRO
LOJAS REDE
FORMA E BELEZA
PERFUMARIA 2000
FRONTEIRAS
IKESAKI
LOJAS PIERRE
ACACIA COSMETICOS PERFUMARIA
AKAKIA COSMÉTICOS
CASA ALPINO
CASA DA BELEZA
CRISTAL
D&P COSMETICOS
ELLO COSMETICO
ESSENCIAS & COSMETICOS
GOLD HAIR
GUARULHOS
ITIKAWA COSMETICOS
KIMI COSMETICOS
LOJAO DOS COSMETICOS
LOJAS SANTA LUCIA
NOVA ERA COSMETICOS
NOVA MISSIANA
PERFUMARIA IVES
PERFUMARIA NAYUMI
ARCOM
ATACADO VILA NOVA
MARTINS
PASTIFICIO SANTA AMALIA
PEIXOTO
TAMBASA
UNIAO
ZAMBONI DISTRIBUIDORA
SAMS CLUB
CEREALISTA MARANHAO
UNIVERSE DISTRIBUIDORA LTDA
SANTA TEREZINHA DIS. PRODS.IND.
ALIMENTOS ZAELI LTDA
CEMA CENTRAL MINEIRA
MERCANTIL NOVA ERA
EMBRASIL
PENNACCHI
CARVALHO E FERNANDES
DISTRIBUIDORA COIMBRA
ATACADAO RIO DO PEIXE
GARCIA ATACADISTA 
APOIO MINEIRO
ASSAI
ROLDAO
TENDA ATACADISTA
PERFUMARIA YASMIN
RAINHA COSMETICOS
RAMAVI PERFUMARIA
REALCE COSMETICOS
TAKEO COSMETICOS
VIGO HAIR
BELLA PELE
YES COSMETICOS
VISUAL COSMETICOS
D_AVO FARMA
CONFIANCA
PALATO 
FLORESTA FACIL
DROGARIA COOP
CASA CRUZ
CASA DO COLEGIAL
CASA DO PAPEL III 
CLOVIS
CRIATIVA
DEBEM
SCALET
GRAFFUS 
KALUNGA 
ACADEMICA
BOM LIVRO
LIVRARIA GLOBO
SARAIVA
MAX CENTER PAZA
MAX CENTER
PALIMONTES
LIVRARIA JAMBO 
TRIBUTARIA 
PAPELLIVROS
RARELI
SICILIANO 
VAN GOGH
NOBEL
CACULA 
PAPEL PICADO 
LIVRARIA CERVO
ARMARINHOS FERNANDO
LIVRARIA LEITURA
LIVRARIA CURITIBA
COBASI
PET CENTER MARGINAL
BICHO SEM GRILO
SUBMARINO.COM
EXTRA.COM
MAGAZINE LUIZA.COM
SHOP TIME.COM
AMERICANAS.COM
FNAC.COM
CASA&VIDEO.COM
PONTOFRIO.COM
PAODEACUCAR.COM
SARAIVA.COM
RI HAPPY
PLANETA BRINQUEDOS
PB KIDS
PB KIDS.COM
CIA TOY
CLARO
OI
TIM
VIVO
COMMCENTER
YELLOWCOM
TELEMIG
BRASIL TELECOM
POSTO GASOLINA
FARMAIS
EXTRA PERTO
COMPRE CERTO
EXTRA FACIL/ MINI  EXTRA
FEIRA NOVA
STOP POINT
KI-BARATO
LASA EXPRESS
PERNAMBUCANAS.COM
SUPERMERCADO RIO BRANCO
ARCOS
SUPER FAMILIA
FRANGOLANDIA
FARMACIA SILVA ROCHA
DROGARIA MINERVA
ULTRA FARMA
BIG - FARMA
DROGAFARMA
BOMPRECO SUPER
ARMAZEM PARAIBA
ATACADAO DOS ELETROS
BEMOL
BERLANDA
DAROM MOVEIS
GRAFITE MOVEIS
J MAHFUZ
KOERICH
LASER ELETRO
LILIANI
MANLEC
MOVEIS GAZIN
STAR MOVEIS
VOLPATO
QUERO QUERO
LOJAS BECKER
LOJAS LEBES
TONIN
TODO DIA SUL
FARMACIA OPCAO
MACHADO
DROGARIA ANGÉLICA
SANTO REMÉDIO
SUPERMERCADO BARROSO
DROGARIA PANDA
SUPER MANAIRA
FARID SUPER
BRISAMAR
SUPER NOVA ESTRELA
SUPER CANDANGAO
REDE MIX
HIPER VIP
SUPER BENATO
SUPER 70
SUPER LEAL
SUPER MENOR PRECO
SUPER VILLE
DROGARIAS NAZARE
ALVORADA
DELTA SUPERMERCADOS
KACULA
SUPERMERCADO COMPRE MAIS
SUPERMERCADO JACOMAR
SUPERMERCADO MIALICH
SUPERMERCADO UNIDOS
SUPERMERCADOS BIGMART
SUPERMERCADOS CORREIA
SUPERMERCADOS GOLFINHO
SUPERMERCADOS LUNITTI
VAREJAO IRMAOS PATROCINIO
CARONE
VERAN
DROGA NEWS
DROGA VIVA
DROGARIA AMERICA
DROGARIA CRISTAL
DROGARIA RETIRO
DROGARIA SAO GERALDO
FARMA MAIS ECONOMICA
FARMACIA NATURE DERME
TELEJUCA
FARTO DROGARIAS
GRAN FARMA
MAXXI ECONOMICA
MULTIFARMA
PRECO POPULAR
REDE CENTRAL DROGARIAS
REDEPHARMA
DROGA RAPIDA
KAMEL  MAGAZINE
LOJAS MAIA
LOJAS DUDONY
REDE ELETROSOM
MULTI LOJA
MERCADOMOVEIS
ELETRO SHOPPING
CITY LAR
LOJAS OBINO
FRANCO ELETRO
CR DIE MENTZ
BERNASCONI
RABELO SOM E IMAGEM
TV LAR
RAMSONS
SIPOLATTI
LOJAS XAVIER
MOVEIS ESTRELA
ELETROCITY
MOVEIS ROMERA
A PRIMORDIAL
LOJAS GUIDO
MACAVI
VALDAR MOVEIS
MOVEIS BRASILIA
PONTO DE PROMOCAO
H HAVAN
LOJAS SOLAR
LOJAS MANICA
LOJA GAVAZZONI
GABRYELA OI TIM CLARO
CASA SANTA TEREZINHA
CERTEL
HERMOL MOVEIS E ELETRO
CREDIMOVEIS NOVOLAR
LOJAS SCHUMANN
LOJAS HERVAL
A PROVEDORA
MULTISOM
SALES SUPERMERCADOS
VERDEMAR
PERIM
DEL MORO SUPERMERCADOS
JUBA SUPERMERCADOS
CENTERBOX SUPERMERCADOS
SUPERMERCADOS MACIEL
SUPERMERCADOS QUEIROZ
FARMÁCIA MONICA
FARMÁCIA SANTA BRANCA
FARMACIAS NOSSA
DROGANORTE
FARMÁCIA ALDESUL
SHIBATA
MAKTUB
DROGATIM DROGARIAS LTDA
FARMA FIBRA
SUPERMERCADO MEIRA
RONDELLI SUPERMERCADO
UNISUPER
SUPERMERCADOS UNIDOS
SUPERMERCADO ROCCO
SUPERMERCADO TROPICAL
DROGARIA SAO CARLOS
ST MARCHE
MINUTO PDA
SUPERMERCADO AGRICER
FARMACIA DO TRABALHADOR DO BRASIL
Barracao Supermercado
SUPERMERCADO BEM BOM
FARMACIA MASTERFARMA
HIPERMERCADO C-VALE
CALL FARMA
SUPERMERCADO REIS
CENTRAL SUPERMERCADO
FARMACIAS DESCONTAO
REDE ECONOMIA
DROGA VEM
DROGARIA GLOBO
DROGARIA MARCELO
SUPERMERCADO ELIZEU MARTINS
FARMACIA EQUILIBRIO
FARMACIA FARMA TOTAL
Hipermercado Da Terra
SUPERMERCADO TATICO
ITAO SUPERMERCADOS
SUPERMERCADO KOCH
CESTAO SUPERMERCADOS
SUPER MARKET
MULTI MARKET
Rede Lucas de Supermercado
SUPERMERCADO VERONA
SUPERMERCADO BARBOSA
BERG SUPERMERCADOS
REDE ECONOMIE SUPERMERCADOS
SUPERMERCADO ROSSI
SUPERMERCADO SUPER LUNA
CASAGRANDE SUPERMERCADOS
SUPERMERCADO LAVAPES
SUPERMERCADO UNIAO
SEMAR SUPERMERCADO
GF SUPERMERCADO
BASE ATACADISTA
MACROMIX
ATAKADAO ATAKAREJO
MATEUS ATACADAO
SUPECO
Terra da natural
Bonyfacil
Torre de Jacarepagua
GMAP
CARREFOUR EXPRESS
BARBOSAO EXTRA
BOM DIA
C&S
"CARONE, MA"
CASA AURORA
CASA DO SABÃO
CB
CHARME
COELHO DINIZ
COMETA
COOPER
DONA DE CASA
DROGARIA PACHECO LTDA
EXTRA FARMA DROGA LAGO
FENIX
FUTURO BRILHANTE
KAWAKAMI
LIMA
MOLICENTER
MOTA
NORI
ODELOT
PAG POUCO
PALOMAX
PARANAÍBA
PIRES
RENA
SANTA HELENA
SANTAREM
SEROPEDICA
SINHÁ
STTYLLO
SUPER GOLFF
SUPER REDE
SUPER VAREJÃO DA FARTURA
TERÊ FRUTAS
UBERABA
UNIÃO
UNIVERSE
ALE
